Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2012,Desert Tree Finder: a pocket manual for identifying desert trees (Nature Study Guides),May Theilgaard Watts,133,science,botanical,,,,,
,2012,Tree Finder: A Manual for Identification of Trees by their Leaves (Eastern US) (Nature Study Guides),May Theilgaard Watts,134,science,botanical,,,,,
,2012,Humanistic Geography,"David Ley, Marwyn S. Samuels",135,academic,geography,,,,,
,2012,The Landscape We See,Garrett Eckbo,136,architecture,,,,,,
,2012,Discovering the Vernacular Landscape,John Brinckerhoff Jackson,137,architecture,,,,,,
,2012,Reading the Landscape of America,May Theilgaard Watts,138,travel,botanical,,,,,
,2012,Reading the Landscape of Europe,May Theilgaard Watts,139,travel,botanical,,,,,
,2012,The Interpretation of Ordinary Landscapes: Geographical Essays,Donald W. Meinig,140,architecture,,,,,,
,2012,Henry James Goes to Paris,Peter Brooks,141,academic,literary criticism,,,,,
,2012,Errand Into the Wilderness,Perry Miller,142,academic,literary criticism,,,,,
,2012,Ubik,Philip K. Dick,143,science fiction,,,,,,
,2012,Introduction To Poetics (Theory and History of Literature),Tzvetan Todorov,144,academic,literary criticism,,,,,
,2012,Language and Learning: The Importance of Speech in Children's Development,James Britton,145,academic,rhetoric,,,,,
,2012,How to Do Things with Words: Second Edition (William James Lectures),"J. L. Austin, et al",146,academic,philosophy,,,,,
,2012,Perspectives on Literacy,"Professor Eugene R. Kintgen, et al",147,academic,linguistics,,,,,
,2012,"The Melodramatic Imagination: Balzac, Henry James, Melodrama, and the Mode of Excess",Professor Peter Brooks,148,academic,literary criticism,,,,,
,2012,The Story of Maps,Lloyd A. Brown,149,academic,cartography,,,,,
,2012,Lily of the Valley,"Honor̩ de Balzac, Lucienne Hill",150,fiction,,,,,,
,2012,Textual Power: Literary Theory and the Teaching of English,Robert Scholes,151,academic,literary criticism,,,,,
,2012,Genres in Discourse,"Tzvetan Todorov, Catherine Porter",152,academic,literary criticism,,,,,
,2012,Louis Lambert,Honore de Balzac,153,fiction,,,,,,
,2012,By Night in Chile,"Roberto Bola̱o, et al",154,fiction,,,,,,
,2012,The Savage Detectives: A Novel,,155,fiction,,,,,,
,2012,"Roberto Bolano, Natasha Wimmer",,156,fiction,,,,,,
,2012,Portraits and Observations: The Essays of Truman Capote (Modern Library Paperbacks),Truman Capote,157,fiction,,,,,,
,2012,The Mortgaged Heart,"Carson McCullers, Margarita G. Smith",158,fiction,,,,,,
,2012,The Opposite of Fate: Memories of a Writing Life,Amy Tan,159,fiction,,,,,,
,2012,Essentials of the Theory of Fiction,"Michael J. Hoffman, Patrick D. Murphy",160,academic,literary criticism,,,,,
,2012,Reading for the Plot: Design and Intention in Narrative,Peter Brooks,161,academic,literary criticism,,,,,
,2012,Shakespearean Negotiations: The Circulation of Social Energy in Renaissance England (New Historicism: Studies in Cultural Poetics) (No. 84),Stephen Greenblatt,162,academic,literary criticism,,,,,
,2012,Shakespeare After All,Marjorie Garber,163,academic,literary criticism,,,,,
,2012,Style: Ten Lessons In Clarity And Grace,Joseph M. Williams,164,teaching,,,,,,
,2012,Do Androids Dream of Electric Sheep? (Sf Masterworks 04),Philip K Dick,165,science fiction,,,,,,
,2012,The Effects of Knut Hamsun on a Fresno Boy: Recollections and Short Essays,Gary Soto,166,fiction,,,,,,
,2012,What Remains and Other Stories,"Christa Wolf, et al",167,fiction,,,,,,
,2012,The Quest for Christa T.,"Christa Wolf, Christopher Middleton",168,fiction,,,,,,
,2012,Black Talk,Geneva Smitherman,169,academic,literary criticism,,,,,
,2013,The Social Shaping of Technology,"Donald MacKenzie, Judy Wajcman",170,academic,technology,,,,,
,2013,Human-Built World: How to Think about Technology and Culture (science.culture),Thomas P. Hughes,171,academic,technology,,,,,
,2013,Eating the Alkaline Way: Recipes for a Well-Balanced Honestly Healthy Lifestyle,"Natasha Corrett, et al",172,cookbook,,,,,,
,2013,Sentences (New American Poetry),"Charles O. Hartman, Hugh Kenner",173,poetry,,,,,,
,2013,Computer Power and Human Reason: From Judgement to Calculation,Joseph Weizenbaum,174,academic,technology,computer history,,,,
,2013,"Elements of Literature: Essay, Fiction, Poetry, Drama, Film","Robert Scholes, et al",175,academic,literary criticism,,,,,
